@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric

@data
72,'2018/09/29 17:07:48:221',1,215.57222,411.246124,60.440872,229.255356,407.954651,61.894814,214.156845,412.617188,56.689732,222.529495,414.254303,52.940601,219.140579,410.293427,48.49522,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
73,'2018/09/29 17:07:48:272',1,214.744888,411.301636,60.406509,228.382324,407.993988,61.914459,213.927155,412.520813,56.748127,221.957626,414.294128,52.947678,218.795929,410.332947,48.497295,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
74,'2018/09/29 17:07:48:321',1,211.639374,412.224762,60.447285,225.161896,409.035095,62.050995,211.524124,413.226379,56.850124,220.527466,414.914612,53.10598,217.467804,410.929321,48.584042,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
75,'2018/09/29 17:07:48:372',1,207.662872,414.030182,60.386475,220.162567,410.736725,62.303383,208.126511,414.430725,56.999458,218.043442,415.961243,53.265232,216.18541,411.633026,48.717056,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
76,'2018/09/29 17:07:48:421',1,205.118881,415.430237,60.397968,217.370483,412.188568,62.527958,206.546844,415.29895,57.180134,217.186722,416.657654,53.459972,215.368103,412.107544,48.830509,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
77,'2018/09/29 17:07:48:471',1,204.392334,416.542969,60.404194,217.090225,413.258545,62.742729,206.954895,416.017853,57.315498,218.011292,417.275085,53.590096,216.12468,412.521057,48.887295,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
78,'2018/09/29 17:07:48:521',1,206.27771,416.970093,60.495102,219.247116,413.615112,62.953747,209.1026,416.163635,57.483704,220.014313,417.28717,53.728775,217.847488,412.329742,49.009659,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
79,'2018/09/29 17:07:48:571',1,209.436371,416.738525,60.517036,223.065002,412.939209,63.138336,212.771576,415.876587,57.592163,224.369278,417.027649,53.896889,221.004715,412.422638,49.032097,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
80,'2018/09/29 17:07:48:622',1,213.518234,416.484741,60.560612,227.596954,412.417786,63.294106,216.333908,415.413849,57.754333,227.532471,416.626343,54.042736,222.628296,412.168549,49.104794,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
81,'2018/09/29 17:07:48:671',1,215.241669,416.352203,60.58437,229.876205,412.049561,63.390778,217.745911,415.224243,57.839874,228.973816,416.458313,54.1492,222.711105,412.246674,49.137245,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
82,'2018/09/29 17:07:48:721',1,216.243958,415.957855,60.605469,231.096817,411.409454,63.449535,218.208954,414.83551,57.916157,229.229507,416.206543,54.227612,221.979492,412.286682,49.179237,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
83,'2018/09/29 17:07:48:771',1,218.365952,415.146881,60.664989,234.003418,410.19986,63.496902,219.527084,414.037445,58.043106,229.382217,415.679596,54.299946,220.196579,412.210205,49.245953,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
84,'2018/09/29 17:07:48:821',1,219.281799,414.488861,60.753578,235.76265,409.402618,63.503349,220.774826,413.313171,58.196201,229.093704,415.509369,54.360947,218.597046,412.419525,49.307865,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
85,'2018/09/29 17:07:48:871',1,219.807159,413.299377,60.72171,237.383759,408.127991,63.37188,221.029587,412.15448,58.20224,228.164078,414.653473,54.334698,215.409225,411.985474,49.27985,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
86,'2018/09/29 17:07:48:921',1,219.385941,412.146057,60.689075,237.608551,406.904297,63.277843,220.66011,411.092407,58.194241,227.206635,413.971527,54.32291,213.263931,411.702209,49.254143,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
87,'2018/09/29 17:07:48:971',1,219.758392,411.697784,60.680897,238.567123,406.468231,63.232903,221.657501,410.423767,58.265072,227.579895,413.56311,54.369991,211.900543,411.623718,49.269043,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
88,'2018/09/29 17:07:49:021',1,220.022522,411.808319,60.654831,239.299744,406.516846,63.249794,222.882217,410.085449,58.35759,228.385971,413.403046,54.431293,211.13382,411.708527,49.282261,0.999,0.361843,0.999,0.999,0.5,0,0.10226,0,0.429205,0.810213
